,Item Name,price
0,Amla,65.79023757810913
1,Anjura/Fig,96.70626241372257
2,Apple Australia,212.39424924152604
3,Apple Chaina Delicious,182.84558629655058
4,Apple Chilli,189.88361342500443
5,Apple Delicious,148.74884124645013
6,Apple Economy,116.85009971782375
7,Apple Fuji chaina,223.1873239291771
8,Apple Golden delicious,226.45492304919614
9,Apple Green smith,283.710937599175
10,Apple Newzeland,226.31761143654015
11,Apple Simla,129.91562291671175
12,Apple Washington,229.14080011863587
13,Apple hazarath palli,126.17061020294169
14,Apple juice,86.36791534888818
15,Arive greens,36.32308464452737
16,Avare seed (FB seeds),127.78759269031892
17,Avarebele (F. Beans spok),186.8295074253945
18,Avarekai (Field Beans ),47.90218546728183
19,Baby corn,24.919510112243742
20,Baby corn cleaned,115.7974999602889
21,Bale hoovu(B.flower),25.791139286086672
22,BaleDindu (Banana stem),27.14002715608199
23,Banana Nendra,57.50529449794817
24,Banana Rasabale,46.52707889207886
25,Banana Yellaki,59.18341021033464
26,Banana chandra,59.61202088282522
27,Banana cooking R.Banana,48.92153954875325
28,Banana pachabale,24.580417104122596
29,Basale Greens,41.67873135189617
30,Batani kalu,467.61819916029094
31,Beans,47.72073416954179
32,Beans Fruit,61.100248077717566
33,Beans Nati,27.380736686171623
34,Beans Ring,31.650724150776792
35,Beans cleaned,54.29302322077531
36,Beet Root,30.09602779509185
37,Berry Golden,248.69642286602573
38,Berry Green,173.89498058791955
39,Berry Soft,330.91081182773627
40,Berry Southafrica,241.46668885617245
41,Berry ball,78.20905943686346
42,Berry fruit Ooty,74.25624040935288
43,Bitter Gourd,35.696384185243915
44,Bore fruit,32.363453262395325
45,Bottle Gourd,26.8903529851341
46,Brahmi amla juice,91.5820925070694
47,Bread fruit,59.5298150106807
48,Brinjal (R),26.615776838794677
49,Brinjal (W),35.356782671013335
50,Brinjal Bottle,40.26191400071637
51,Brocoli,215.80420291888126
52,Butter fruit,105.12493078002029
53,Byladha Hannu,36.71852873997062
54,Cabbage,21.001498893036242
55,Cabbage Red,70.2827088618413
56,Cabbage chaina,62.910053867069664
57,Capsicum,42.88783906441834
58,Capsicum Red/Yellow,116.2001749636759
59,Carrot Delhi,45.931156108967606
60,Carrot Nati,45.92125761547674
61,Carrot ooty,60.8175384157336
62,Cauliflower per Kg,44.49090330118253
63,Cauliflower(B),35.638354515778204
64,Cauliflower(M),28.95187353653456
65,Chain Berry,158.737012159679
66,Chakota greens,38.953245697611905
67,Cherry Tomoto,90.27637559724245
68,Cherry fruit,172.09119830886237
69,Cherry kashmir,432.6130887508915
70,Chicco(Sapota),42.45359747871282
71,Chicco(Sapota) rapined,52.55023560940456
72,Chikadi kai,47.18776107132774
73,Chikkadikai Round,51.91317249001678
74,Chikkadikai cleaned,57.13750327574478
75,Chilakarive green,24.81356539353434
76,Chilles small cleaned (C.B.P),71.85136082526681
77,Chillies Bajji,39.49876996319767
78,Chillies Bajji yagani,44.77180200528911
79,Chillies Cleaned,45.374638571139506
80,Chillies Green,40.75486916244015
81,Chillies small (C.B.P),71.10616091968868
82,Chocolates Drink box,39.260032773173805
83,Chow-Chow,29.558747353569345
84,Cluster Bean Local,35.87117758243181
85,Cluster Beans Bunches,30.169953843372948
86,Coconut (B),26.56070249424815
87,Coconut (M),23.19083930824306
88,Coconut (OS),14.085446178616353
89,Coconut (S),18.21500165911122
90,Coconut oil 500 ml,88.05461515124145
91,Copra,144.0161438836119
92,Corriander Leave,46.41922560796667
93,Cowpea Long,52.2748466713835
94,Cucumber,22.779807767888183
95,Cucumber Israle,41.61315914596997
96,Cucumber Nati,39.407208830189425
97,Cucumber Ooty,395.3721226279484
98,Cucumber white,26.392474652003763
99,Curry leave,61.97782719852394
100,Custerd Apple,44.00921450639758
101,Dhantu greens,40.80344280879863
102,Double Beans,83.44141299998738
103,Double Beans seeds,181.9386510364793
104,Drumstik,79.15998475835883
105,Dry apricot,159.85991571709656
106,Dry dates,134.1634481310117
107,Dry fruit mixed,111.21204072472817
108,Eggs,4.856898133838435
109,Fanda,32.71128131225042
110,Fruit Juice Tailand,15.70234287446802
111,G. nut Golden oil 1 lt,144.26178775642546
112,G. nut oil Rice 1 lt,97.23950391016528
113,G. nut oil safal deep1 lt,94.49746579163333
114,G. nut sungold 1 lt,108.97154238484987
115,G.nut oil Premium1 lt,115.37113160312623
116,G.nut oil Rice Bron 1 lt,99.43522013067603
117,G.oil Net rich 500 ml,55.93041953519344
118,Garlic,104.3734119240705
119,Garlic cleaned,163.79148545033195
120,Ginger,61.210097756919865
121,Ginger New,68.3872787947411
122,Grapes Blore blue,44.79181035551503
123,Grapes Crimson,85.47676389401235
124,Grapes Dilkush,63.42711024891511
125,Grapes Dry 250gm,118.03265041659748
126,Grapes Flame,93.66832758779411
127,Grapes Krishna sharad,122.58369505190993
128,Grapes Red globe,384.7050659721373
129,Grapes Rose,118.83315510351888
130,Grapes Sharad,108.80207137563676
131,Grapes Sonika,103.57643169345411
132,Grapes T.S.,99.93474868606448
133,GrapesAnabi shahi,46.52452759042242
134,Grapesh Tash ganesh,89.5775553015243
135,Greens Sabbakki,56.63630330890256
136,Ground nut Local,75.35906284547782
137,Ground nut oil 1 lt,114.77774960538835
138,Ground nut oil 5 lt,727.8410201373036
139,Guava,54.384280643758366
140,Guava Allahabad(Red),72.25985139088165
141,Gulkan 1 kg,104.6562840836185
142,Gulkan 1/2 kg,52.35290018376054
143,Gulkan 1/4 kg,39.257299654513396
144,Herali kai,66.29602521243424
145,Hesaru kalu,104.53658297798738
